row info : 1979 | LAB | Number: 11 | CON | Number: 8 | LD | Number: 0 | SNP | Number: 0 | Other | Number: 0 | Total | Number: 19 | 
row info : 1983 | LAB | Number: 10 | CON | Number: 13 | LD | Number: 0 | SNP | Number: 0 | Other | Number: 0 | Total | Number: 23 | 
row info : 1987 | LAB | Number: 21 | CON | Number: 17 | LD | Number: 2 | SNP | Number: 1 | Other | Number: 0 | Total | Number: 41 | 
row info : 1992 | LAB | Number: 37 | CON | Number: 20 | LD | Number: 2 | SNP | Number: 1 | Other | Number: 0 | Total | Number: 60 | 
row info : 1997 | LAB | Number: 101 | CON | Number: 13 | LD | Number: 3 | SNP | Number: 2 | Other | Number: 1 | Total | Number: 120 | 
row info : 2001 | LAB | Number: 95 | CON | Number: 14 | LD | Number: 5 | SNP | Number: 1 | Other | Number: 3 | Total | Number: 118 | 
row info : 2005 | LAB | Number: 98 | CON | Number: 17 | LD | Number: 10 | SNP | Number: 0 | Other | Number: 3 | Total | Number: 128 | 
row info : 2010 | LAB | Number: 81 | CON | Number: 49 | LD | Number: 7 | SNP | Number: 1 | Other | Number: 5 | Total | Number: 143 | 
row info : 2015 | LAB | Number: 99 | CON | Number: 68 | LD | Number: 0 | SNP | Number: 20 | Other | Number: 4 | Total | Number: 191 | 
row info : 2017 | LAB | Number: 119 | CON | Number: 67 | LD | Number: 4 | SNP | Number: 12 | Other | Number: 6 | Total | Number: 208 | 
row info : 2019 | LAB | Number: 104 | CON | Number: 87 | LD | Number: 7 | SNP | Number: 16 | Other | Number: 6 | Total | Number: 220 | 
