row info : Brokerage | CON: 0.173501577287066 | LAB: 0.190839694656489 | SNP: 0.2 | LD: 0.333333333333333 | Year: 2017 | 
row info : Legal profession | CON: 0.1198738170347 | LAB: 0.0954198473282443 | SNP: 0.0285714285714286 | LD: 0.166666666666667 | Year: 2017 | 
row info : Education | CON: 0.0189274447949527 | LAB: 0.0763358778625954 | SNP: 0.0857142857142857 | LD: 0.166666666666667 | Year: 2017 | 
row info : Physicians/dentists | CON: 0.0220820189274448 | LAB: 0.0114503816793893 | SNP: 0.0571428571428571 | LD: - | Year: 2017 | 
row info : Architects/surveyors/engineers | CON: 0.0126182965299685 | LAB: 0.00763358778625954 | SNP: 0.0285714285714286 | LD: - | Year: 2017 | 
row info : Instrumental | CON: 0.318611987381703 | LAB: 0.492366412213741 | SNP: 0.371428571428571 | LD: 0.25 | Year: 2017 | 
row info : Councillor/other elected office | CON: 0.0883280757097792 | LAB: 0.179389312977099 | SNP: 0.142857142857143 | LD: 0.166666666666667 | Year: 2017 | 
row info : Political/social/policy research | CON: 0.0946372239747634 | LAB: 0.103053435114504 | SNP: 0.142857142857143 | LD: - | Year: 2017 | 
row info : Party official | CON: 0.0441640378548896 | LAB: 0.0534351145038168 | SNP: 0.0571428571428571 | LD: - | Year: 2017 | 
row info : Journalism/broadcast/media | CON: 0.0315457413249211 | LAB: 0.0229007633587786 | SNP: 0.0285714285714286 | LD: 0.0833333333333333 | Year: 2017 | 
row info : Trade union official | CON: - | LAB: 0.114503816793893 | SNP: - | LD: - | Year: 2017 | 
row info : Lobbyist | CON: 0.0599369085173502 | LAB: 0.0190839694656489 | SNP: - | LD: - | Year: 2017 | 
row info : Business/commerce  | CON: 0.410094637223975 | LAB: 0.0572519083969466 | SNP: 0.171428571428571 | LD: 0.333333333333333 | Year: 2017 | 
row info : Other  | CON: 0.0914826498422713 | LAB: 0.244274809160305 | SNP: 0.228571428571429 | LD: 0.0833333333333333 | Year: 2017 | 
row info : Agriculture/farmers | CON: 0.0189274447949527 | LAB: - | SNP: - | LD: - | Year: 2017 | 
row info : Armed forces | CON: 0.00630914826498423 | LAB: 0.00763358778625954 | SNP: - | LD: - | Year: 2017 | 
row info : Civil service/local authority | CON: 0.0157728706624606 | LAB: 0.0114503816793893 | SNP: 0.0285714285714286 | LD: - | Year: 2017 | 
row info : Clergy | CON: Clergy | LAB: 0.00381679389312977 | SNP: 0.00381679389312977 | LD: - | Year: 2017 | 
row info : NHS | CON: - | LAB: 0.0267175572519084 | SNP: - | LD: - | Year: 2017 | 
row info : Other | CON: - | LAB: 0.0152671755725191 | SNP: 0.0571428571428571 | LD: 0.0833333333333333 | Year: 2017 | 
row info : Other white collar | CON: 0.0189274447949527 | LAB: 0.0305343511450382 | SNP: 0.0571428571428571 | LD: - | Year: 2017 | 
row info : Retired | CON: 0.00630914826498423 | LAB: - | SNP: 0.0285714285714286 | LD: - | Year: 2017 | 
row info : Social worker | CON: - | LAB: 0.0190839694656489 | SNP: - | LD: - | Year: 2017 | 
row info : Voluntary sector | CON: 0.0157728706624606 | LAB: 0.122137404580153 | SNP: 0.0571428571428571 | LD: - | Year: 2017 | 
row info : Writer/literary/artist | CON: 0.00315457413249211 | LAB: 0.00763358778625954 | SNP: - | LD: - | Year: 2017 | 
row info :  | CON: nan | LAB: nan | SNP: nan | LD: - | Year: - | 
row info : Manual | CON: 0.00630914826498423 | LAB: 0.0152671755725191 | SNP: 0.0285714285714286 | LD: - | Year: 2017 | 
