"uri","date","title","uin"
"http://data.parliament.uk/resources/1720066","2024-05-24","The Tribunal Procedure (Upper Tribunal) (Immigration and Asylum Chamber) (Amendment) Rules 2024","CD:2024-05-24:1824"
"http://data.parliament.uk/resources/1720037","2024-05-23","Finance (No. 2) Bill: Third Reading","CD:2024-05-23:1823"
"http://data.parliament.uk/resources/1719946","2024-05-22","Immigration and asylum: Ten Minute Rule Motion","CD:2024-05-22:1821"
"http://data.parliament.uk/resources/1719961","2024-05-22","Holocaust Memorial Bill Committee: New Clause 1","CD:2024-05-22:1822"
"http://data.parliament.uk/resources/1719542","2024-05-21","Digital Markets, Competition and Consumers Bill: Consideration of Lords Message: manuscript amendment","CD:2024-05-21:1819"
"http://data.parliament.uk/resources/1719550","2024-05-21","High Speed Rail (Crewe - Manchester) Bill: Instruction (No. 3)","CD:2024-05-21:1820"
"http://data.parliament.uk/resources/1718991","2024-05-17","Motion to sit in private","CD:2024-05-17:1818"
"http://data.parliament.uk/resources/1718226","2024-05-15","Criminal Justice Bill Report Stage: New Clause 44","CD:2024-05-15:1815"
"http://data.parliament.uk/resources/1718227","2024-05-15","Criminal Justice Bill Report Stage: New Clause 59","CD:2024-05-15:1816"
"http://data.parliament.uk/resources/1718230","2024-05-15","Criminal Justice Bill Report Stage: New Clause 91","CD:2024-05-15:1817"
"http://data.parliament.uk/resources/1717453","2024-05-13","Risk-based exclusion: amendment (o)","CD:2024-05-13:1814"
"http://data.parliament.uk/resources/1716342","2024-05-08","Finance (No. 2) Bill Committee: New Clause 1","CD:2024-05-08:1810"
"http://data.parliament.uk/resources/1716343","2024-05-08","Finance (No. 2) Bill Committee: New Clause 4","CD:2024-05-08:1811"
"http://data.parliament.uk/resources/1716345","2024-05-08","Finance (No. 2) Bill Committee: New Clause 2","CD:2024-05-08:1812"
"http://data.parliament.uk/resources/1716346","2024-05-08","Finance (No. 2) Bill Committee: New Clause 3","CD:2024-05-08:1813"
"http://data.parliament.uk/resources/1714826","2024-04-30","Digital Markets, Competition and Consumers Bill: motion to disagree with Lords Amendment 9","CD:2024-04-30:1805"
"http://data.parliament.uk/resources/1714828","2024-04-30","Digital Markets, Competition and Consumers Bill: motion to disagree with Lords Amendment 12","CD:2024-04-30:1806"
"http://data.parliament.uk/resources/1714833","2024-04-30","Digital Markets, Competition and Consumers Bill: motion to disagree with Lords Amendment 31","CD:2024-04-30:1808"
