"uri","constituency > label","election > label","electorate","majority","result of election","turnout"
"http://data.parliament.uk/resources/382387","Aberdeen North","2010 General Election","64808","8361","Lab Hold","37701"
"http://data.parliament.uk/resources/382389","Aberdeen South","2010 General Election","64031","3506","Lab Hold","43034"
"http://data.parliament.uk/resources/382391","Airdrie and Shotts","2010 General Election","62364","12408","Lab Hold","35849"
"http://data.parliament.uk/resources/382393","Angus","2010 General Election","62860","3282","SNP Hold","37960"
"http://data.parliament.uk/resources/382395","Argyll and Bute","2010 General Election","67165","3431","LD Hold","45207"
"http://data.parliament.uk/resources/382397","Ayr, Carrick and Cumnock","2010 General Election","73320","9911","Lab Hold","45893"
"http://data.parliament.uk/resources/382399","Banff and Buchan","2010 General Election","64300","4027","SNP Hold","38466"
"http://data.parliament.uk/resources/382401","Berwickshire, Roxburgh and Selkirk","2010 General Election","73826","5675","LD Hold","49014"
"http://data.parliament.uk/resources/382403","Caithness, Sutherland and Easter Ross","2010 General Election","47263","4826","LD Hold","28768"
"http://data.parliament.uk/resources/382405","Central Ayrshire","2010 General Election","68352","12007","Lab Hold","43915"
"http://data.parliament.uk/resources/382407","Coatbridge, Chryston and Bellshill","2010 General Election","70067","20714","Lab Hold","41635"
"http://data.parliament.uk/resources/382409","Cumbernauld, Kilsyth and Kirkintilloch East","2010 General Election","64037","13755","Lab Hold","41150"
"http://data.parliament.uk/resources/382411","Dumfries and Galloway","2010 General Election","74584","7449","Lab Hold","52173"
"http://data.parliament.uk/resources/382413","Dumfriesshire, Clydesdale and Tweeddale","2010 General Election","66627","4194","Con Hold","45892"
"http://data.parliament.uk/resources/382415","Dundee East","2010 General Election","65471","1821","SNP Hold","40568"
"http://data.parliament.uk/resources/382417","Dundee West","2010 General Election","63013","7278","Lab Hold","37126"
"http://data.parliament.uk/resources/382419","Dunfermline and West Fife","2010 General Election","73590","5470","Lab Hold","48947"
"http://data.parliament.uk/resources/382421","East Dunbartonshire","2010 General Election","63795","2184","LD Hold","47948"
"http://data.parliament.uk/resources/382423","East Kilbride, Strathaven and Lesmahagow","2010 General Election","76534","14503","Lab Hold","50946"
"http://data.parliament.uk/resources/382425","East Lothian","2010 General Election","73348","12258","Lab Hold","49161"
"http://data.parliament.uk/resources/382427","East Renfrewshire","2010 General Election","66249","10420","Lab Hold","51181"
"http://data.parliament.uk/resources/382429","Edinburgh East","2010 General Election","60945","9181","Lab Hold","39865"
"http://data.parliament.uk/resources/382431","Edinburgh North and Leith","2010 General Election","69207","1724","Lab Hold","47356"
"http://data.parliament.uk/resources/382433","Edinburgh South","2010 General Election","59362","316","Lab Hold","43801"
"http://data.parliament.uk/resources/382435","Edinburgh South West","2010 General Election","66361","8447","Lab Hold","45462"
"http://data.parliament.uk/resources/382437","Edinburgh West","2010 General Election","65159","3803","LD Hold","46447"
"http://data.parliament.uk/resources/382439","Falkirk","2010 General Election","81869","7843","Lab Hold","50777"
"http://data.parliament.uk/resources/382441","Glasgow Central","2010 General Election","60105","10551","Lab Hold","30580"
"http://data.parliament.uk/resources/382443","Glasgow East","2010 General Election","61865","11840","Lab Hold","32164"
"http://data.parliament.uk/resources/382445","Glasgow North","2010 General Election","51490","3898","Lab Hold","29613"
"http://data.parliament.uk/resources/382447","Glasgow North East","2010 General Election","59861","15942","Lab Gain","29409"
"http://data.parliament.uk/resources/382449","Glasgow North West","2010 General Election","60997","13611","Lab Hold","35582"
"http://data.parliament.uk/resources/382451","Glasgow South","2010 General Election","65069","12658","Lab Hold","40094"
"http://data.parliament.uk/resources/382453","Glasgow South West","2010 General Election","58191","14671","Lab Hold","31781"
"http://data.parliament.uk/resources/382455","Glenrothes","2010 General Election","67765","16448","Lab Hold","40501"
"http://data.parliament.uk/resources/382457","Gordon","2010 General Election","73420","6748","LD Hold","48775"
"http://data.parliament.uk/resources/382459","Inverclyde","2010 General Election","59209","14416","Lab Hold","37512"
"http://data.parliament.uk/resources/382462","Inverness, Nairn, Badenoch and Strathspey","2010 General Election","72528","8765","LD Hold","47086"
"http://data.parliament.uk/resources/382464","Kilmarnock and Loudoun","2010 General Election","74131","12378","Lab Hold","46553"
"http://data.parliament.uk/resources/382466","Kirkcaldy and Cowdenbeath","2010 General Election","73534","23009","Lab Hold","45802"
"http://data.parliament.uk/resources/382468","Lanark and Hamilton East","2010 General Election","74773","13478","Lab Hold","46554"
"http://data.parliament.uk/resources/382470","Linlithgow and East Falkirk","2010 General Election","80907","12553","Lab Hold","51450"
