"uri","date","election type","label"
"http://data.parliament.uk/resources/1720360","2024-07-04","General Election","2024 General Election"
"http://data.parliament.uk/resources/1715873","2024-05-02","By-election","02-May-2024 By-election"
"http://data.parliament.uk/resources/1693126","2024-02-29","By-election","29-Feb-2024 By-election"
"http://data.parliament.uk/resources/1688950","2024-02-15","By-election","15-Feb-2024 By-election (Kingswood)"
"http://data.parliament.uk/resources/1688951","2024-02-15","By-election","15-Feb-2024 By-election (Wellingborough)"
"http://data.parliament.uk/resources/1665958","2023-10-19","By-election","19-Oct-2023 By-election (Mid Bedfordshire)"
"http://data.parliament.uk/resources/1666307","2023-10-19","By-election","19-Oct-2023 By-election (Tamworth)"
"http://data.parliament.uk/resources/1662721","2023-10-05","By-election","05-Oct-2023 By-election"
"http://data.parliament.uk/resources/1651461","2023-07-20","By-election","20-Jul-2023 By-election (Selby and Ainsty)"
"http://data.parliament.uk/resources/1655009","2023-07-20","By-election","20-Jul-2023 By-election (Uxbridge and South Ruislip)"
"http://data.parliament.uk/resources/1655010","2023-07-20","By-election","20-Jul-2023 By-election (Somerton and Frome)"
"http://data.parliament.uk/resources/1586072","2023-02-09","By-election","09-Feb-2023 By-election"
"http://data.parliament.uk/resources/1563185","2022-12-15","By-election","15-Dec-2022 By-election"
"http://data.parliament.uk/resources/1546676","2022-12-01","By-election","01-Dec-2022 By-election"
"http://data.parliament.uk/resources/1473055","2022-06-23","By-election","23-June-2022 By-election (Tiverton and Honiton)"
"http://data.parliament.uk/resources/1473056","2022-06-23","By-election","23-June-2022 By-election (Wakefield)"
"http://data.parliament.uk/resources/1438043","2022-03-03","By-election","03-Mar-2022 By-election"
"http://data.parliament.uk/resources/1415562","2022-02-03","By-election","03-Feb-2022 By-election"
"http://data.parliament.uk/resources/1387997","2021-12-16","By-election","16-Dec-2021 By-election"
"http://data.parliament.uk/resources/1382603","2021-12-02","By-election","02-Dec-2021 By-election"
